epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,147.492,0.55101,0.39609,0.90481,0.97859,0.95333,0.978,0.73911,0.70635,0.363,0.7451,0.00133728,0.00133728,0.00133728
61,149.749,0.56152,0.35127,0.89659,0.95461,0.98333,0.98903,0.78903,0.68414,0.3453,0.75403,0.00132685,0.00132685,0.00132685
62,152.033,0.56271,0.35634,0.88218,0.95925,0.97133,0.98225,0.75645,0.67494,0.30967,0.73569,0.00131631,0.00131631,0.00131631
63,154.216,0.53647,0.3555,0.88631,0.94683,0.98667,0.98679,0.76246,0.66245,0.29636,0.73898,0.00130565,0.00130565,0.00130565
64,156.566,0.53817,0.36325,0.89745,0.97635,0.98667,0.99263,0.77085,0.70582,0.31714,0.78668,0.00129487,0.00129487,0.00129487
65,158.785,0.53968,0.36205,0.87939,0.97799,0.97516,0.9919,0.76417,0.62501,0.29721,0.75066,0.00128398,0.00128398,0.00128398
66,161.032,0.55425,0.34116,0.88609,0.9662,0.97065,0.99276,0.73695,0.78497,0.39457,0.87228,0.00127298,0.00127298,0.00127298
67,163.209,0.53346,0.31352,0.88793,0.97277,0.96672,0.99377,0.77509,0.71805,0.43652,0.80828,0.00126188,0.00126188,0.00126188
68,165.415,0.55704,0.32743,0.87269,0.96303,0.98,0.98943,0.74379,0.86589,0.41837,0.90036,0.00125067,0.00125067,0.00125067
69,167.755,0.5448,0.32644,0.91242,0.97547,0.98,0.98947,0.78009,0.70059,0.32344,0.76821,0.00123936,0.00123936,0.00123936
70,170.14,0.53662,0.30583,0.87385,0.97404,0.98667,0.99281,0.79126,0.66217,0.33479,0.75795,0.00122795,0.00122795,0.00122795
71,172.463,0.58319,0.33495,0.90159,0.9696,0.98667,0.99205,0.76896,0.73346,0.36838,0.7821,0.00121645,0.00121645,0.00121645
72,174.621,0.53388,0.31353,0.87452,0.96755,0.98,0.99282,0.75181,0.82107,0.45821,0.81001,0.00120486,0.00120486,0.00120486
73,176.939,0.5742,0.32718,0.88394,0.97518,0.98674,0.99353,0.76643,0.74999,0.40296,0.78397,0.00119317,0.00119317,0.00119317
74,179.152,0.5122,0.33665,0.88378,0.97533,0.98333,0.99324,0.78888,0.62918,0.29972,0.74804,0.0011814,0.0011814,0.0011814
75,181.54,0.55859,0.31517,0.87463,0.9685,0.98912,0.99296,0.76019,0.63358,0.28243,0.74801,0.00116955,0.00116955,0.00116955
76,183.857,0.54808,0.3093,0.90404,0.98413,0.98228,0.99056,0.78672,0.66239,0.30778,0.76738,0.00115761,0.00115761,0.00115761
77,186.257,0.54575,0.31701,0.86004,0.96804,0.99333,0.99345,0.7566,0.70777,0.3124,0.7749,0.0011456,0.0011456,0.0011456
78,188.546,0.54129,0.31908,0.8808,0.98492,0.97978,0.99316,0.78204,0.64401,0.32129,0.76248,0.00113351,0.00113351,0.00113351
79,190.848,0.53095,0.30453,0.8683,0.98994,0.95,0.98957,0.76659,0.67291,0.31321,0.74825,0.00112135,0.00112135,0.00112135
80,193.177,0.51369,0.30181,0.88919,0.98464,0.98831,0.99337,0.79315,0.65167,0.30649,0.76961,0.00110912,0.00110912,0.00110912
81,195.426,0.5303,0.33845,0.86782,0.9725,0.99,0.99334,0.76939,0.61862,0.2852,0.73396,0.00109683,0.00109683,0.00109683
82,197.87,0.51612,0.3274,0.86589,0.98103,0.99113,0.99395,0.7958,0.60998,0.28923,0.73901,0.00108447,0.00108447,0.00108447
83,200.166,0.48377,0.29235,0.86066,0.98095,0.99,0.99356,0.76727,0.62975,0.27451,0.73815,0.00107205,0.00107205,0.00107205
84,202.753,0.5451,0.30494,0.8767,0.97441,0.97639,0.9928,0.77487,0.65042,0.31129,0.7576,0.00105957,0.00105957,0.00105957
85,205.052,0.52792,0.32634,0.87813,0.97433,0.97994,0.99191,0.77793,0.68177,0.31149,0.77277,0.00104705,0.00104705,0.00104705
86,207.431,0.52413,0.29664,0.86793,0.97131,0.98333,0.9921,0.80223,0.59886,0.27397,0.73929,0.00103447,0.00103447,0.00103447
87,209.74,0.51433,0.31726,0.86777,0.97593,0.99333,0.99344,0.78561,0.6306,0.2945,0.74413,0.00102184,0.00102184,0.00102184
88,212.083,0.48766,0.28643,0.86233,0.97456,0.98667,0.99324,0.80255,0.59155,0.27763,0.73884,0.00100917,0.00100917,0.00100917
89,214.441,0.52538,0.32141,0.87067,0.97216,0.96574,0.99249,0.78316,0.64164,0.29269,0.74362,0.000996456,0.000996456,0.000996456
90,216.834,0.5011,0.29122,0.86484,0.98056,0.98667,0.99395,0.77738,0.62176,0.26028,0.75704,0.000983705,0.000983705,0.000983705
91,219.099,0.48797,0.28707,0.87263,0.98332,0.98,0.99346,0.78902,0.60457,0.26944,0.75256,0.000970919,0.000970919,0.000970919
