epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,275.121,0.61669,0.44114,0.84859,0.99879,1,0.995,0.85187,0.28428,0.94573,0.4305,0.0012862,0.0012862,0.0012862
84,278.139,0.65481,0.45106,0.86684,0.99531,1,0.995,0.86486,0.28175,0.27132,0.43205,0.00127123,0.00127123,0.00127123
85,281.143,0.62213,0.43071,0.85551,0.99184,1,0.995,0.85678,0.29293,0.20486,0.43127,0.0012562,0.0012562,0.0012562
86,284.417,0.61893,0.4185,0.83401,0.99911,1,0.995,0.88357,0.26941,0.19253,0.42895,0.00124111,0.00124111,0.00124111
87,287.667,0.59937,0.426,0.83263,0.99883,1,0.995,0.85202,0.29055,0.20859,0.43311,0.00122596,0.00122596,0.00122596
88,290.916,0.59716,0.4223,0.85229,0.99907,1,0.995,0.86722,0.28586,0.20609,0.43144,0.00121076,0.00121076,0.00121076
89,293.907,0.61861,0.43365,0.84517,0.99861,1,0.995,0.86912,0.2858,0.19523,0.43207,0.00119551,0.00119551,0.00119551
90,297.173,0.66072,0.43725,0.84693,0.99915,1,0.995,0.84322,0.33525,0.20146,0.43422,0.00118021,0.00118021,0.00118021
91,300.366,0.61558,0.43301,0.84619,0.99816,1,0.995,0.87104,0.29062,0.19313,0.43171,0.00116487,0.00116487,0.00116487
92,303.664,0.63287,0.44317,0.84123,0.99827,1,0.995,0.87208,0.28512,0.20505,0.42847,0.00114949,0.00114949,0.00114949
93,307.006,0.58537,0.40786,0.83083,0.9975,1,0.995,0.86953,0.27953,0.19978,0.42854,0.00113408,0.00113408,0.00113408
94,310.317,0.60176,0.41195,0.8454,0.99915,1,0.995,0.87488,0.26944,0.2191,0.42917,0.00111864,0.00111864,0.00111864
95,313.581,0.63112,0.44012,0.8541,0.99906,1,0.995,0.87763,0.26477,0.21326,0.4268,0.00110317,0.00110317,0.00110317
96,316.877,0.61767,0.41912,0.83572,0.99917,1,0.995,0.8722,0.28418,0.21078,0.4281,0.00108767,0.00108767,0.00108767
97,320.138,0.62213,0.43493,0.8501,0.99855,1,0.995,0.8654,0.28377,0.22097,0.42949,0.00107216,0.00107216,0.00107216
98,323.384,0.63609,0.42763,0.84317,0.99841,1,0.995,0.87268,0.27759,0.19321,0.42881,0.00105664,0.00105664,0.00105664
99,326.654,0.59733,0.4145,0.83388,0.99916,1,0.995,0.8803,0.27058,0.18929,0.43126,0.0010411,0.0010411,0.0010411
100,329.776,0.5895,0.41917,0.82167,0.99913,1,0.995,0.8903,0.27005,0.183,0.42886,0.00102555,0.00102555,0.00102555
101,333.053,0.58885,0.41734,0.84682,0.99914,1,0.995,0.87911,0.27392,0.18317,0.42685,0.00101,0.00101,0.00101
102,336.318,0.59782,0.41293,0.84005,0.99912,1,0.995,0.87929,0.27484,0.17454,0.4266,0.00099445,0.00099445,0.00099445
103,339.268,0.65479,0.4303,0.84731,0.99914,1,0.995,0.88554,0.2677,0.17847,0.42561,0.000978903,0.000978903,0.000978903
104,342.604,0.5734,0.41338,0.83768,0.99907,1,0.995,0.87647,0.28351,0.17474,0.42691,0.000963365,0.000963365,0.000963365
105,345.799,0.60155,0.40934,0.83955,0.99525,1,0.995,0.87254,0.26999,0.17188,0.42673,0.000947837,0.000947837,0.000947837
106,349.209,0.58677,0.4062,0.8319,0.99905,1,0.995,0.88239,0.27761,0.18777,0.42813,0.000932325,0.000932325,0.000932325
107,352.449,0.56769,0.39768,0.82933,0.99894,1,0.995,0.86304,0.28087,0.2311,0.4296,0.000916833,0.000916833,0.000916833
108,355.721,0.5966,0.41537,0.83347,0.99888,1,0.995,0.86423,0.28771,0.30052,0.43569,0.000901363,0.000901363,0.000901363
109,358.937,0.5904,0.40585,0.84079,0.99881,1,0.995,0.86985,0.28562,0.38202,0.42966,0.00088592,0.00088592,0.00088592
110,362.206,0.59136,0.40632,0.83363,0.99886,1,0.995,0.8779,0.29204,0.28594,0.43124,0.000870508,0.000870508,0.000870508
111,365.407,0.63492,0.43546,0.85479,0.999,1,0.995,0.86196,0.28843,0.2804,0.43219,0.00085513,0.00085513,0.00085513
112,368.695,0.59375,0.42569,0.83692,0.99902,1,0.995,0.86147,0.29747,0.25294,0.43344,0.00083979,0.00083979,0.00083979
113,371.975,0.57809,0.40408,0.83984,0.99904,1,0.995,0.8498,0.29708,0.25127,0.43535,0.000824492,0.000824492,0.000824492
114,375.358,0.63042,0.41059,0.83718,0.9988,1,0.995,0.87036,0.28346,0.22875,0.43361,0.000809241,0.000809241,0.000809241
115,378.566,0.57226,0.38558,0.84019,0.99852,1,0.995,0.85234,0.29088,0.24573,0.43227,0.000794038,0.000794038,0.000794038
116,381.834,0.56551,0.38748,0.82946,0.99888,1,0.995,0.87953,0.26951,0.19929,0.42989,0.000778889,0.000778889,0.000778889
117,385.111,0.588,0.39854,0.83028,0.99906,1,0.995,0.87066,0.27983,0.21776,0.42956,0.000763797,0.000763797,0.000763797
118,388.42,0.56982,0.38446,0.83591,0.99911,1,0.995,0.85249,0.28383,0.21959,0.42978,0.000748766,0.000748766,0.000748766
119,391.692,0.54828,0.38515,0.83631,0.9991,1,0.995,0.88666,0.26359,0.22087,0.42644,0.000733799,0.000733799,0.000733799
120,394.985,0.58196,0.39246,0.83044,0.99902,1,0.995,0.89131,0.26897,0.24069,0.42784,0.0007189,0.0007189,0.0007189
121,398.359,0.55253,0.38194,0.84929,0.99904,1,0.995,0.89043,0.26945,0.22202,0.42919,0.000704073,0.000704073,0.000704073
122,401.673,0.54769,0.37281,0.83307,0.99872,1,0.995,0.88865,0.26496,0.19101,0.42855,0.000689322,0.000689322,0.000689322
123,404.973,0.54936,0.37529,0.82585,0.99884,1,0.995,0.88273,0.26713,0.17799,0.42713,0.000674649,0.000674649,0.000674649
124,408.299,0.56532,0.38081,0.82361,0.99871,1,0.995,0.88037,0.26777,0.1798,0.42544,0.00066006,0.00066006,0.00066006
125,411.545,0.55382,0.38143,0.84009,0.99902,1,0.995,0.8949,0.26344,0.17089,0.42468,0.000645557,0.000645557,0.000645557
126,414.487,0.56836,0.36506,0.82795,0.99899,1,0.995,0.89287,0.26013,0.1774,0.42602,0.000631143,0.000631143,0.000631143
127,417.976,0.55813,0.38123,0.82652,0.99895,1,0.995,0.88852,0.26152,0.17779,0.42651,0.000616824,0.000616824,0.000616824
128,421.56,0.54944,0.36682,0.82616,0.99901,1,0.995,0.88876,0.26274,0.16932,0.42462,0.000602601,0.000602601,0.000602601
